fips,services,admin.support,construction,finance,information,management,manufacturing,extraction,realestate,retail,transportation,utilities
41,20.90257125,11.5873825,9.692313462,7.976152939,5.389341331,6.225544192,0,0.189465233,3.61372984,26.03091173,7.271770097,1.120817423
42,14.27099351,10.09513584,7.741436929,8.668813148,4.244197156,5.365153168,17.66626025,1.304981926,1.903789186,20.92439307,6.817635291,0.997210527
44,19.97271277,9.609910433,7.932788193,11.4298147,3.279907169,0,17.95336694,0,2.545146318,21.61583929,5.108876963,0.551637234
45,17.74189687,14.97636259,6.578545444,6.351603294,3.261072527,1.984259599,19.85944908,0.110215365,2.220490099,21.1083012,4.662943028,1.144860909
46,17.62020101,5.361600638,9.185018143,12.28319274,3.132047106,2.173408688,19.45627662,0.55448834,1.636088607,23.13863601,4.430802639,1.028239465
47,15.38025257,13.62943194,6.485441373,7.152721088,3.073590674,5.224740904,18.71301874,0.213993437,1.949583452,19.50526604,8.464466447,0.207493339
48,15.55574603,14.81126436,9.132562314,7.675176,3.676779386,4.592417436,12.22014824,4.299748467,2.707482703,18.32404079,6.16193245,0.842701821
49,14.07694904,15.98996317,9.466903403,7.77106047,5.502355134,0,15.88636664,1.959529854,2.376703987,19.59456485,6.741845075,0.633758382
50,20.89467724,4.894410765,10.5362734,6.021584172,4.513356872,0,20.97595097,0.365065619,2.059822797,25.92099127,3.817866898,0
51,17.10476249,13.33109905,9.451716245,8.179721842,5.41148632,3.359324677,12.1781123,0.548929491,2.894927979,21.92932226,4.806628566,0.803968772
53,15.50916726,9.355045969,9.185213152,6.441260631,8.479320669,4.657618631,16.43960469,0.167448269,2.994528787,20.34079167,5.819754656,0.610245608
54,18.39152517,8.84264486,7.393281055,4.958349861,3.036035761,1.348116382,13.50501938,11.21599543,1.667392504,23.66277118,4.356413123,1.622455292
55,13.87085041,8.755650741,6.419228764,8.788955756,3.305898431,4.186352832,27.34373093,0.254107253,1.4875823,18.59045911,6.117855933,0.879327539
56,17.71901421,4.143859379,13.68437283,4.308971295,2.568550356,0,6.484979313,20.76491147,2.920617788,19.33030093,6.510035207,1.564387223
